"Colo was the first of these great apes born in captivity, in 1956 at the Columbus Zoo"	Gorilla	Chimpanzee
In February 1904 this country attacked the Russian fleet at Port Arthur	Japan	North Korea
"He once wrote, ""I choose to be a plain New Hampshire farmer"""	Robert Frost	Edgar Allan Poe
New studies say it's around 13.7 billion years old (give or take a few million years)	The Universe	The Solar System
"Next to humans, it's the land mammal with the longest lifespan"	Elephant	The Tortoise
In the '60s George Barris bought a concept car from Ford for $1; holy swindle! in 1966 we knew it as this fire-spewing TV car	The Batmobile	The Delorean
This world capital is the most populous city in the West Indies	"Havana, Cuba"	"Kingston, Jamaica"
This punctuation mark is also known as an interrogation point	A question mark	An exclamaition mark
This Frenchman gave his name to the raised dot printing & writing system used by the blind	Louis Braille	Jacques Braille
"Famous 1863 speech by President Lincoln that began, ""Four score and seven years ago..."""	The Gettysburg Address	The Williamsburg Address
"The body has over 60,000 miles of them"	Blood Vessels	Pores
"These people ""die many times before their deaths"""	Cowards	Taxpayers
"Even though it's the world's second longest river, it still has the world's largest drainage basin"	Amazon	Nile
"North American porcupines who gnaw the bark off trees are part of this ""gnawing"" order"	Rodents	Lagomorphs
"According to Proverbs, ""He that troubleth his own house shall"" do this"	Inherit the Wind	Face the Lord's judgement
The Larry O'Brien Trophy features a regulation size sterling silver one of these	A basketball	A football
This imaginary line separates the north Pacific from the south pacific	Equator	Panama Canal
"Early stories in this Japanese religion appeared in the Nihongi & Kojiki, both written around 1,300 years ago"	Shinto	Buddhism
"This egg dish that's often fat & fluffy has a name derived from a middle French word for ""knife blade"""	An Omelet	"""Poached"" eggs"
"From the name of a mythological hero, it's an extended trip, or an intellectual or spiritual quest"	Odyssey	Trek
"This word is found after clinical, manic & postpartum"	Depression	Condition
It's the principal ingredient on the label of a Tootsie Roll	Sugar	Chocolate
"On August 27, 2003 this planet reached its closest point to Earth in nearly 60,000 years"	Mars	Mercury
"This guy ""knew that the sun was out that day, so he said, 'let's run and have some fun now before I melt away'"""	Frosty the Snowman	Jack Frost
"As chief of aeronautics, U.S. Army, Thaddeus Lowe organized a corps of 5 of these"	Balloons	Astrophysicists
"16 months before his ride from Charlestown to Lexington, he participated in the Boston Tea Party"	Paul Revere	Benjamin Franklin
"To avoid lying, is the answer to this question correct?"	Yes	No
This king consulted the witch of Endor	King Saul	C-3PO
"This word meaning ""not reciprocated"" is found with ""love"" in many dictionaries"	Unrequited	Friendzoned
"Colo was the first of these great apes born in captivity, in 1956 at the Columbus Zoo"	Gorilla	Chimpanzee
In February 1904 this country attacked the Russian fleet at Port Arthur	Japan	North Korea
"He once wrote, ""I choose to be a plain New Hampshire farmer"""	Robert Frost	Edgar Allan Poe
New studies say it's around 13.7 billion years old (give or take a few million years)	The Universe	The Solar System
"Next to humans, it's the land mammal with the longest lifespan"	Elephant	The Tortoise
In the '60s George Barris bought a concept car from Ford for $1; holy swindle! in 1966 we knew it as this fire-spewing TV car	The Batmobile	The Delorean
This world capital is the most populous city in the West Indies	"Havana, Cuba"	"Kingston, Jamaica"
This punctuation mark is also known as an interrogation point	A question mark	An exclamaition mark
This Frenchman gave his name to the raised dot printing & writing system used by the blind	Louis Braille	Jacques Braille
"Famous 1863 speech by President Lincoln that began, ""Four score and seven years ago..."""	The Gettysburg Address	The Williamsburg Address
"The body has over 60,000 miles of them"	Blood Vessels	Pores
"These people ""die many times before their deaths"""	Cowards	Taxpayers
"Even though it's the world's second longest river, it still has the world's largest drainage basin"	Amazon	Nile
"North American porcupines who gnaw the bark off trees are part of this ""gnawing"" order"	Rodents	Lagomorphs
"According to Proverbs, ""He that troubleth his own house shall"" do this"	Inherit the Wind	Face the Lord's judgement
The Larry O'Brien Trophy features a regulation size sterling silver one of these	A basketball	A football
This imaginary line separates the north Pacific from the south pacific	Equator	Panama Canal
"Early stories in this Japanese religion appeared in the Nihongi & Kojiki, both written around 1,300 years ago"	Shinto	Buddhism
"This egg dish that's often fat & fluffy has a name derived from a middle French word for ""knife blade"""	An Omelet	"""Poached"" eggs"
"From the name of a mythological hero, it's an extended trip, or an intellectual or spiritual quest"	Odyssey	Trek
"This word is found after clinical, manic & postpartum"	Depression	Condition
It's the principal ingredient on the label of a Tootsie Roll	Sugar	Chocolate
"On August 27, 2003 this planet reached its closest point to Earth in nearly 60,000 years"	Mars	Mercury
"This guy ""knew that the sun was out that day, so he said, 'let's run and have some fun now before I melt away'"""	Frosty the Snowman	Jack Frost
"As chief of aeronautics, U.S. Army, Thaddeus Lowe organized a corps of 5 of these"	Balloons	Astrophysicists
"16 months before his ride from Charlestown to Lexington, he participated in the Boston Tea Party"	Paul Revere	Benjamin Franklin
"To avoid lying, is the answer to this question correct?"	Yes	No
This king consulted the witch of Endor	King Saul	C-3PO
"This word meaning ""not reciprocated"" is found with ""love"" in many dictionaries"	Unrequited	Friendzoned
"The first European to round Africa's southern tip, he was also on the voyage that discovered Brazil"	Bartolomeo Diaz	Ferdinand Magellan
"After years of construction, this canal finally opened for business August 15, 1914"	Panama Canal	Suez Canal
The California Gold Rush started the first big wave of immigration from this Asian nation	China	Japan
Around 1605 Dutchman Willem Jansz became the first European to sight this continent	Australia	Antartica
"In February 1825 this ""liberator"" was elected president of Peru"	Simon Bolivar	Francisco de Miranda
"Founded in 1933, this Spanish political party was named for a Greek military formation"	Falange	Carlist
"This war began with an attack across the 38th Parallel on June 25, 1950"	Korean War	Vietnam War
"On November 15, 1920 the League of Nations held its first meeting in this city"	Geneva	Versailles
In 1968 Soviet troops invaded this country & abducted Communist Party leader Alexander Dubcek	Czechoslovakia	Poland
"In the 4th century Greece became a part of the Byzantine Empire; about 1,100 years later it became part of this empire"	Ottoman Empire	Holy Roman Empire
"In the 1200s this western Italian city-state ruled the central Mediterranean, including Sardinia & Corsica"	Genoa	Venice
The 16th century Spanish Alumbrados predated this similar secret society of 18th century Germany	the Illuminati	Freemasons
"Estimates of when these people abandoned the city of Uxmal range from 600 to 1,000 years ago"	Mayans	Incas
By 900 A.D. Harold Fairhair had become the first king of this Scandinavian nation	Norway	Finland
In 1935 the Saar territory was reunited with this country	Germany	Italy
Juan Vincente Gomez was dictator of this South American country in 1918 when it first exploited its oil	Venezuela	Colombia
"This volunteer cavalry unit organized by Teddy Roosevelt included miners, cowboys & college athletes"	the Rough Riders	the Tough Riders
Around 122 A.D. this emperor ordered a wall built to separate the Romans from the Barbarians	Hadrian	Trajan
The Yi dynasty ruled this country from 1392 until its annexation by Japan in 1910	Joseon	Korea
The Peace of Westphalia in 1648 ended this numerical war	Thirty Years' War	Fifty Years' War
"The Mau Mau Rebellion, which began in 1952, was an uprising against British rule in this African country"	Kenya	Ethiopia
In June 1987 she became the first British prime minister in the 20th c. elected to 3 straight terms	Margaret Thatcher	Carol Thatcher
"On September 23, 1949 President Truman announced that this country had detonated a nuclear device"	Soviet Union/U.S.S.R./Russia	China
In 338 B.C. this country's Philip II defeated Thebes & Athens at the Battle of Chaeronea	Macedonia	Greece
In 781 he persuaded Pope Adrian I to crown his sons Pepin & Louis kings of Italy & Aquitaine	Charlemagne	Henry I
"""The Thousand"" was a novel written by this Italian guerrilla leader based on his 1860 Sicilian expedition"	Giuseppe Garibaldi	Ricciotti Garibaldi
"The third of these military expeditions was led by Frederick I Barbarossa, Philip II & Richard the Lion-Hearted"	the Crusades	Ottoman-Hungary War
In 1513 he reached & named Florida	Ponce de Leon	Americus Vespucius
"In 1718 the British tracked down & killed this ""dark"" pirate in a North Carolina inlet"	Blackbeard	Thomas Anstis
In 1946 the Ivory Coast was made an overseas territory of this country; in 1960 it gained its independence	France	Britain
The treaty that ended the Russo-Japanese War in 1905 was named for this New Hampshire city	Portsmouth	Concord
"In the first Punic War, the troops of his father, Hamilcar Barca, were defeated by the Romans in Sicily"	Hannibal	Julius Caesar
"Abdicating the imperial throne on August 6, 1806, Francis II was its last ruler"	the Holy Roman Empire	Austrian Empire
Union with this Baltic country in 1386 made Poland Europe's largest country	Lithuania	Belarus
"In ancient Greece, Athens had its Delian League of city-states while Sparta had this league"	the Peloponnesian League	the Spartan League
"Called greatest Catholic missionary of modern times, he introduced Christianity into Japan in 1549"	Francis Xavier	Julius III
A potato famine during the 1840s caused this island's population to decline by about 2 million	Ireland	Iceland
The Treaty of Versailles ended this war & set up the League of Nations	World War I	Franco-Prussian War
Hernando Cortes conquered the Aztecs & Francisco Pizarro conquered this Indian empire	Incan	Mayan
"By the end of his reign in 1786, Frederick the Great doubled this kingdom's area"	Prussia	the German Empire
In 1977 this Ugandan leader survived at least one assassination attempt & 2 attempted coups	Idi Amin	Milton Obote
"Stone tools were first used during this period known as the ""Old Stone Age"""	Paleolithic	Neolithic
"In 1533, at age 3, he became grand prince of Moscow; 14 years later he was crowned Russia's first czar"	Ivan the Terrible	Ivanovich
In 1497 John Cabot visited the area of this Newfoundland capital & named it for a beheaded saint	St. John's	St.Peter's
In January 1793 France's national convention voted 387 to 334 to have him guillotined	Louis XVI	Louis XVII
"On June 28, 1914 this 18-year-old Serb assassinated Archduke Francis Ferdinand, leading to World War I"	Gavrilo Princip	Petar Princip
Legend says in 1811 & 1812 earthquakes on the Midwest's New Madrid Fault made this river run backwards	Mississippi River	Ontario River
"Around 1200 this city became capital of a Muslim empire in India; its ""New"" version is India's capital today"	Delhi	Mumbai
Pope Paul III was a leader in this movement whose name implies it opposed Protestantism	the Counter-Reformation	the Counter-Protestantism
"""Rich"" in democracy, this country held some of Central America's first free elections in the 1890s"	Costa Rica	Honduras
"This ""Great"" king who died in 4 B.C. married Mariamne, the last princess of the Maccabees' line"	Herod the Great	David the Great
"During the 1930s America went through a period of hardship and poverty known as the ""Great"" this"	Depression	Recession
"In 1368 the Ming dynasty didn't just take over this country, they urned it"	China	Mongolia
"This country won the battle of Stalingrad, August 1942-February 1943"	Russia	Ukraine
In the 1460s this South American people took the Chimu empire; within 100 years they were subdued by the Spanish	the Incas	the Aztecs
"From 1905-7, Austria & Serbia fought an economic ""war"" over tariffs, such as over this porcine animal"	a pig	a hog
The western jury system is thought to have been brought to England by these peoples in 1066	the Normans	French
"Century known as the ""high Renaissance"""	the 16th	the 15th
World power whose emperor gave up claims to divinity before it adopted a new constitution in 1947	Japan	Germany
1957 U.S. policy allowing the president to use armed force in the Middle East	the Eisenhower Doctrine	the Truman Doctrine
"In 1869 it cut the travel distance between London & Bombay by over 4,000 miles"	the Suez Canal	the Egyptian Canal
"When Hannibal was 9, his father forced him to swear eternal hatred for this city"	Rome	Athens
"A March 31, 1492 edict in this country offered the Jews there the choice of baptism or exile"	Spain	France
"In 1324 Mali's ruler Mansa Musa made a 4,000-mile pilgrimage to this city, taking a reported 12,000 slaves"	Mecca	Jerusalem
"In 751 Pepin the Short's title was changed from ""Mayor of the Palace"" to ""King of"" these people"	the Franks	the Saxons
"In 1893, New Zealand became the first country to give women this right"	the right to vote	the right of free speech
"The 2 countries, which, in 1964, merged to form Tanzania"	Tanganyika & Zanzibar	Tanganyika & Gambia
"During World War II, the United States ruled this island on behalf of Denmark"	Greenland	Zealand
"In 1858, the British government took over control of India from this company"	The British East India Company	The British West India Company
"America's ""Open Door Policy"" of the late 19th century pertained to trade with this country"	China	Japan
In 1589 Boris Godunov got this country's Orthodox Church recognized as an independent patriarchate	Russia	Greece
"When he went to Europe in 1971, he became the first reigning Japanese monarch to travel abroad"	Hirohito	Showa
